plate,well,fov,channel,file,fov_id
BR00115126,A01,F001,C05,BR00115126_A01_T0001F001L01A01Z01C05.tif,BR00115126_A01_F001
BR00115126,A01,F001,C04,BR00115126_A01_T0001F001L01A02Z01C04.tif,BR00115126_A01_F001
BR00115126,A01,F001,C03,BR00115126_A01_T0001F001L01A03Z01C03.tif,BR00115126_A01_F001
BR00115126,A01,F001,C02,BR00115126_A01_T0001F001L01A04Z01C02.tif,BR00115126_A01_F001
BR00115126,A01,F001,C01,BR00115126_A01_T0001F001L01A05Z01C01.tif,BR00115126_A01_F001
BR00115126,A01,F002,C05,BR00115126_A01_T0001F002L01A01Z01C05.tif,BR00115126_A01_F002
BR00115126,A01,F002,C04,BR00115126_A01_T0001F002L01A02Z01C04.tif,BR00115126_A01_F002
BR00115126,A01,F002,C03,BR00115126_A01_T0001F002L01A03Z01C03.tif,BR00115126_A01_F002
BR00115126,A01,F002,C02,BR00115126_A01_T0001F002L01A04Z01C02.tif,BR00115126_A01_F002
BR00115126,A01,F002,C01,BR00115126_A01_T0001F002L01A05Z01C01.tif,BR00115126_A01_F002
BR00115126,A01,F003,C05,BR00115126_A01_T0001F003L01A01Z01C05.tif,BR00115126_A01_F003
BR00115126,A01,F003,C04,BR00115126_A01_T0001F003L01A02Z01C04.tif,BR00115126_A01_F003
BR00115126,A01,F003,C03,BR00115126_A01_T0001F003L01A03Z01C03.tif,BR00115126_A01_F003
BR00115126,A01,F003,C02,BR00115126_A01_T0001F003L01A04Z01C02.tif,BR00115126_A01_F003
BR00115126,A01,F003,C01,BR00115126_A01_T0001F003L01A05Z01C01.tif,BR00115126_A01_F003
BR00115126,A01,F004,C05,BR00115126_A01_T0001F004L01A01Z01C05.tif,BR00115126_A01_F004
BR00115126,A01,F004,C04,BR00115126_A01_T0001F004L01A02Z01C04.tif,BR00115126_A01_F004
BR00115126,A01,F004,C03,BR00115126_A01_T0001F004L01A03Z01C03.tif,BR00115126_A01_F004
BR00115126,A01,F004,C02,BR00115126_A01_T0001F004L01A04Z01C02.tif,BR00115126_A01_F004
BR00115126,A01,F004,C01,BR00115126_A01_T0001F004L01A05Z01C01.tif,BR00115126_A01_F004
